beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.5,-0.22529810729802355,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,-0.19375364705227482,crossing,5,7,"|1,1>","|3,0>",0.0
0.5,-0.17390036074079923,crossing,4,8,"|2,1>","|0,2>",0.0
0.5,-0.16999999999999998,avoided,6,9,"|1,2>","|3,1>",0.0454351115482865
0.5,-0.10103200686315128,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,-0.04999999999999999,avoided,4,11,"|2,1>","|4,0>",0.02717635312249911
0.5,0.050000000000000044,avoided,4,11,"|2,1>","|4,0>",0.02717635312217226
0.5,0.10103200686312808,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,0.17000000000000004,avoided,6,9,"|1,2>","|3,1>",0.04543511154800228
0.5,0.17390036074077797,crossing,4,8,"|2,1>","|0,2>",0.0
0.5,0.19375364705224485,crossing,5,7,"|1,1>","|3,0>",0.0
0.5,0.22529810729802893,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,0.25261604535037213,crossing,2,3,"|2,0>","|0,1>",0.0
0.5,0.2531135689573198,crossing,8,11,"|0,2>","|4,0>",0.0
0.5,0.27545291703238384,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,0.30460617527175105,crossing,8,10,"|0,2>","|5,0>",0.0
0.5,0.30827269158286724,crossing,6,8,"|1,2>","|0,2>",0.0
0.5,0.3112240554660603,crossing,4,5,"|2,1>","|1,1>",0.0
0.5,0.32564051958341633,crossing,6,10,"|1,2>","|5,0>",0.0
0.5,0.37,avoided,6,10,"|1,2>","|5,0>",0.02449830528080099
0.5,0.3770865863476204,crossing,3,7,"|0,1>","|3,0>",0.0
0.5,0.3770945835408862,crossing,8,9,"|0,2>","|3,1>",0.0
0.5,0.3916842055027552,crossing,3,4,"|0,1>","|2,1>",0.0
0.5,0.4058176318108897,crossing,8,9,"|0,2>","|3,1>",0.0
0.5,0.41000000000000003,avoided,6,10,"|1,2>","|5,0>",0.029438144607951244
0.5,0.41332839093833645,crossing,6,11,"|1,2>","|4,0>",0.0
0.5,0.41789550459484004,crossing,10,11,"|5,0>","|4,0>",0.0
0.5,0.44667130929197996,crossing,4,7,"|2,1>","|3,0>",0.0
0.5,0.44667590841072063,crossing,8,9,"|0,2>","|3,1>",0.0
0.5,0.4897866027675684,crossing,8,9,unlabeled,unlabeled,0.0
0.5,0.4899208539255109,crossing,4,7,unlabeled,unlabeled,0.0
0.5,0.49699131432234916,crossing,8,9,unlabeled,unlabeled,0.0
0.5,0.49855361227306944,crossing,5,6,unlabeled,unlabeled,0.0
0.5,0.49872213022462863,crossing,1,2,unlabeled,unlabeled,0.0
0.6000000000000001,-0.4984466868919962,crossing,1,2,unlabeled,unlabeled,0.0
0.6000000000000001,-0.4982027411209628,crossing,5,6,unlabeled,unlabeled,0.0
0.6000000000000001,-0.49793936980028447,crossing,8,9,unlabeled,unlabeled,0.0
0.6000000000000001,-0.49688780811481087,crossing,4,7,unlabeled,unlabeled,0.0
0.6000000000000001,-0.48971310730999545,crossing,4,7,unlabeled,unlabeled,0.0
0.6000000000000001,-0.489482450672631,crossing,8,9,unlabeled,unlabeled,0.0
0.6000000000000001,-0.4466855070331766,crossing,8,9,"|0,2>","|3,1>",0.0
0.6000000000000001,-0.44667869524588266,crossing,4,7,"|2,1>","|3,0>",0.0
0.6000000000000001,-0.41784313724367395,crossing,10,11,"|5,0>","|4,0>",0.0
0.6000000000000001,-0.4134596336176132,crossing,6,11,"|1,2>","|4,0>",0.0
0.6000000000000001,-0.41000000000000003,avoided,6,10,"|1,2>","|5,0>",0.0341384822877302
0.6000000000000001,-0.40581788879820674,crossing,8,9,"|0,2>","|3,1>",0.0
0.6000000000000001,-0.3918223353653166,crossing,3,4,"|0,1>","|2,1>",0.0
0.6000000000000001,-0.3772473403691378,crossing,3,7,"|0,1>","|3,0>",0.0
0.6000000000000001,-0.37723359901687437,crossing,8,9,"|0,2>","|3,1>",0.0
0.6000000000000001,-0.37,avoided,6,10,"|1,2>","|5,0>",0.028456113012424566
0.6000000000000001,-0.32561907185242217,crossing,6,10,"|1,2>","|5,0>",0.0
0.6000000000000001,-0.31131882649832787,crossing,4,5,"|2,1>","|1,1>",0.0
0.6000000000000001,-0.3084822316708057,crossing,6,8,"|1,2>","|0,2>",0.0
0.6000000000000001,-0.30479691203894865,crossing,8,10,"|0,2>","|5,0>",0.0
0.6000000000000001,-0.2754505014337869,crossing,6,10,"|1,2>","|5,0>",0.0
0.6000000000000001,-0.2534008694259258,crossing,8,11,"|0,2>","|4,0>",0.0
